"","equine_zone.diff","equine_zone.lwr","equine_zone.upr","equine_zone.p.adj"
"CLEARWATER EQUINE ZONE-BRAZEAU EQUINE ZONE",0.624999999999987,-3.98620396142465,5.23620396142463,0.998841811402435
"ELBOW EQUINE ZONE-BRAZEAU EQUINE ZONE",1.46153846153845,-3.23292364986642,6.15600057294332,0.947941936788641
"GHOST EQUINE ZONE-BRAZEAU EQUINE ZONE",0.235294117647039,-4.08857202896237,4.55916026425645,0.999987026158444
"NORDEGG EQUINE ZONE-BRAZEAU EQUINE ZONE",0.599999999999985,-3.93781141497108,5.13781141497105,0.998972577011245
"SUNDRE EQUINE ZONE-BRAZEAU EQUINE ZONE",0.585227272727256,-3.68221548836954,4.85267003382406,0.998774354580945
"ELBOW EQUINE ZONE-CLEARWATER EQUINE ZONE",0.836538461538466,-1.90015076117634,3.57322768425327,0.951770887596296
"GHOST EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.389705882352947,-2.42620087132355,1.64678910661766,0.994023039683179
"NORDEGG EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.0250000000000012,-2.48329734250135,2.43329734250135,0.999999997003119
"SUNDRE EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.0397727272727302,-1.95355461284511,1.87400915829965,0.999999893354345
"GHOST EQUINE ZONE-ELBOW EQUINE ZONE",-1.22624434389141,-3.44482145133212,0.992332763549295,0.608686202210404
"NORDEGG EQUINE ZONE-ELBOW EQUINE ZONE",-0.861538461538467,-3.47266817216312,1.74959124908619,0.933931386014858
"SUNDRE EQUINE ZONE-ELBOW EQUINE ZONE",-0.876311188811196,-2.98280914682173,1.23018676919934,0.839795441456058
"NORDEGG EQUINE ZONE-GHOST EQUINE ZONE",0.364705882352946,-1.49965521574093,2.22906698044683,0.993377476894456
"SUNDRE EQUINE ZONE-GHOST EQUINE ZONE",0.349933155080217,-0.696574171927857,1.39644048208829,0.930268538498479
"SUNDRE EQUINE ZONE-NORDEGG EQUINE ZONE",-0.0147727272727289,-1.74424998052829,1.71470452598283,0.999999998747056
