OBJECTID,Adult_T,SAdult_T,Foal_T,Habitat,DataDate,EquineZne,Total,Colour2
1,10,3,0,Cutblock,2019-03-05,Ghost,13, 
2,11,2,0,Cutblock,2019-03-05,Ghost,13, 
3,3,1,0,Meadow_Shrub,2019-03-05,Ghost,4, 
4,2,1,0,Cutblock,2019-03-05,Ghost,3, 
5,1,1,0,Meadow_Grassland,2019-03-05,Ghost,2, 
6,10,3,0,Meadow_Shrub,2019-03-05,Ghost,13, 
7,6,1,0,Meadow_Shrub,2019-03-05,Ghost,7,One buckskin
8,5,2,0,Meadow_Shrub,2019-03-05,Ghost,7, 
9,6,4,0,Cutblock,2019-03-05,Ghost,10, 
10,5,2,0,Cutblock,2019-03-05,Ghost,7, 
11,1,0,0,Industrial,2019-03-05,Ghost,1, 
12,4,2,0,Forest_Decidous,2019-03-05,Ghost,6,One buckskin
13,6,2,0,Cutblock,2019-03-05,Ghost,8, 
14,6,2,0,Meadow_Shrub,2019-03-05,Ghost,8, 
15,3,0,0,Meadow_Shrub,2019-03-05,Ghost,3, 
16,3,3,0,Meadow_Grassland,2019-03-05,Ghost,6, 
17,2,1,0,Meadow_Grassland,2019-03-05,Ghost,3, 
18,2,1,0,Forest_Mixedwood,2019-03-05,Ghost,3, 
19,3,1,0,Forest_Decidous,2019-03-05,Ghost,4,One palomino
20,2,2,0,Meadow_Shrub,2019-03-05,Ghost,4,Paint mare and yearling
21,1,1,0,Forest_Mixedwood,2019-03-05,Ghost,2, 
22,3,1,0,Meadow_Riparian,2019-03-05,Ghost,4, 
23,3,3,0,Meadow_Grassland,2019-03-05,GHOST RIVER EQUINE ZONE,6, 
24,2,0,0,Forest_Conifer,2019-03-05,Ghost,2, 
25,6,1,0,Forest_Conifer,2019-03-05,Ghost,7, 
26,2,0,0,Forest_Conifer,2019-03-05,Ghost,2, 
27,3,0,0,Forest_Conifer,2019-03-05,Ghost,3, 
28,4,0,0,Meadow_Grassland,2019-03-05,Ghost,4, 
29,3,1,0,Meadow_Grassland,2019-03-05,Ghost,4, 
30,3,0,0,Cutblock,2019-03-05,Ghost,3, 
31,6,2,0,Cutblock,2019-03-05,Ghost,8, 
32,4,1,0,Cutblock,2019-03-05,Ghost,5, 
33,3,2,0,Meadow_Riparian,2019-03-05,Ghost,5, 
34,1,0,0,Meadow_Riparian,2019-03-05,Ghost,1, 
35,4,0,0,Meadow_Riparian,2019-03-05,Ghost,4, 
36,4,0,0,Cutblock,2019-03-05,Ghost,4, 
37,5,1,0,Meadow_Riparian,2019-03-05,Ghost,6, 
38,4,1,0,Cutblock,2019-03-05,Ghost,5, 
39,3,0,0,Meadow_Grassland,2019-03-05,GHOST RIVER EQUINE ZONE,3, 
40,2,0,0,Meadow_Grassland,2019-03-05,Ghost,2, 
41,1,0,0,Forest_Conifer,2019-03-05,Ghost,1, 
42,4,0,0,Cutblock,2019-03-05,Ghost,4, 
43,1,0,0,Meadow_Shrub,2019-03-05,Ghost,1, 
44,3,1,0,Cutblock,2019-03-05,Ghost,4, 
45,3,0,0,Meadow_Grassland,2019-03-05,Ghost,3, 
46,4,2,0,Cutblock,2019-03-05,Ghost,6, 
47,4,2,0,Meadow_Grassland,2019-03-05,Ghost,6, 
48,5,1,0,Meadow_Grassland,2019-03-05,Ghost,6, 
49,8,3,0,Cutblock,2019-03-05,Ghost,11, 
50,5,2,0,Cutblock,2019-03-05,Ghost,7, 
51,2,1,0,Meadow_Grassland,2019-03-05,Ghost,3, 
52,5,1,0,Cutblock,2019-03-05,Ghost,6, 
53,6,0,0,Meadow_Grassland,2019-03-05,Ghost,6, 
54,7,2,0,Meadow_Shrub,2019-03-05,Ghost,9, 
55,3,3,0,Meadow_Grassland,2019-03-05,Ghost,6, 
56,7,3,0,Forest_Conifer,2019-03-05,Ghost,10, 
57,6,1,0,Cutblock,2019-03-05,Ghost,7, 
58,4,2,0,Cutblock,2019-03-05,Ghost,6, 
59,4,3,0,Industrial,2019-03-05,Ghost,7, 
60,7,3,0,Cutblock,2019-03-05,Ghost,10, 
61,7,4,0,Meadow_Grassland,2019-03-05,Ghost,11, 
62,4,2,0,Cutblock,2019-03-05,Ghost,6, 
63,3,0,0,Forest_Decidous,2019-03-05,Ghost,3, 
64,7,0,0,Meadow_Grassland,2019-03-05,Ghost,7, 
65,3,1,0,Cutblock,2019-03-05,Ghost,4, 
66,4,0,0,Meadow_Grassland,2019-03-05,Ghost,4,"One paint, one buckskin"
67,4,3,0,Forest_Mixedwood,2019-03-05,Ghost,7, 
68,10,3,0,Meadow_Grassland,2019-03-05,Ghost,13, 
69,3,1,0,Cutblock,2019-01-10,Elbow,4, 
70,13,5,0,Meadow_Riparian,2019-01-10,ELBOW RIVER EQUINE ZONE,18, 
71,5,2,0,Meadow_Riparian,2019-01-10,Elbow,7, 
72,4,2,0,Forest_Decidous,2019-01-10,Elbow,6, 
73,3,1,0,Cutblock,2019-01-10,Elbow,4, 
74,6,0,0,Cutblock,2019-01-10,Elbow,6, 
75,3,0,0,Meadow_Riparian,2019-01-10,Elbow,3, 
76,7,2,0,Cutblock,2019-01-10,Elbow,9, 
77,4,2,0,Cutblock,2019-01-10,Elbow,6, 
78,3,0,0,Cutblock,2019-01-10,Elbow,3, 
79,8,2,0,Meadow_Riparian,2019-01-10,Elbow,10, 
80,4,0,0,Cutblock,2019-01-10,Elbow,4, 
81,8,0,0,Forest_Mixedwood,2019-01-10,Elbow,8, 
82,6,2,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,8, 
83,6,0,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,6, 
84,9,3,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,12, 
85,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
86,6,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
87,4,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,4, 
88,3,0,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,3, 
89,4,1,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,5, 
90,4,2,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,6, 
91,3,0,0,Cutblock,2019-02-26,SUNDRE EQUINE ZONE,3, 
92,3,0,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,3, 
93,3,0,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,3, 
94,2,0,0,Meadow_Grassland,2019-02-26,SUNDRE EQUINE ZONE,2, 
95,4,2,0,Industrial,2019-02-26,SUNDRE EQUINE ZONE,6, 
96,12,3,1,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,16, 
97,2,1,0,Forest_Mixedwood,2019-02-26,SUNDRE EQUINE ZONE,3, 
98,5,0,0,Meadow_Riparian,2019-02-26,SUNDRE EQUINE ZONE,5, 
99,8,2,0,Forest_Decidous,2019-02-28,Sundre,10, 
100,7,2,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,9, 
101,8,2,0,Cutblock,2019-02-28,SUNDRE EQUINE ZONE,10, 
102,2,1,0, ,2019-02-28,SUNDRE EQUINE ZONE,3, 
103,4,1,0,Meadow_Shrub,2019-02-28,SUNDRE EQUINE ZONE,5, 
104,5,0,0,Meadow_Shrub,2019-02-28,SUNDRE EQUINE ZONE,5, 
105,1,0,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,1, 
106,5,2,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,7, 
107,4,2,0,Roadside,2019-02-28,SUNDRE EQUINE ZONE,6, 
108,14,3,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,17, 
109,7,2,0,Meadow_Riparian,2019-02-28,SUNDRE EQUINE ZONE,9, 
