"","equine_zone.diff","equine_zone.lwr","equine_zone.upr","equine_zone.p.adj"
"CLEARWATER EQUINE ZONE-BRAZEAU EQUINE ZONE",0.354166666666665,-1.63678071095653,2.34511404428986,0.995755855618254
"ELBOW EQUINE ZONE-BRAZEAU EQUINE ZONE",-0.02564102564102,-2.05253619407017,2.00125414278813,0.999999991076244
"GHOST EQUINE ZONE-BRAZEAU EQUINE ZONE",0.00490196078432237,-1.86198357232189,1.87178749389053,0.9999999999966
"NORDEGG EQUINE ZONE-BRAZEAU EQUINE ZONE",-0.23333333333333,-2.19259252298626,1.7259258563196,0.999381627433937
"SUNDRE EQUINE ZONE-BRAZEAU EQUINE ZONE",-0.350378787878785,-2.19290278929767,1.4921452135401,0.994195848902729
"ELBOW EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.379807692307685,-1.5614089133585,0.801793528743128,0.940610987682451
"GHOST EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.349264705882343,-1.22854794552051,0.530018533755824,0.864452583928185
"NORDEGG EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.587499999999995,-1.64890190033125,0.473901900331261,0.607177775632313
"SUNDRE EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.70454545454545,-1.53084571328437,0.121754804193467,0.144107378703683
"GHOST EQUINE ZONE-ELBOW EQUINE ZONE",0.0305429864253424,-0.927356579732488,0.988442552583173,0.999999095818978
"NORDEGG EQUINE ZONE-ELBOW EQUINE ZONE",-0.20769230769231,-1.33508157381274,0.919696958428124,0.994996864636088
"SUNDRE EQUINE ZONE-ELBOW EQUINE ZONE",-0.324737762237765,-1.23424569564394,0.58477017116841,0.909532104179235
"NORDEGG EQUINE ZONE-GHOST EQUINE ZONE",-0.238235294117652,-1.04319748408895,0.566726895853647,0.957896659699701
"SUNDRE EQUINE ZONE-GHOST EQUINE ZONE",-0.355280748663107,-0.80712391929711,0.0965624219708958,0.215910047740245
"SUNDRE EQUINE ZONE-NORDEGG EQUINE ZONE",-0.117045454545455,-0.863769787460086,0.629678878369177,0.997671548919825
