"","habitat.diff","habitat.lwr","habitat.upr","habitat.p.adj"
"Cutblock- ",1.89102564102574,-3.44534837530698,7.22739965735846,0.981249428431161
"Forest_Conifer- ",1.52272727272737,-4.60494872082249,7.65040326627723,0.998651616615061
"Forest_Decidous- ",2.32142857142867,-3.62859575434058,8.27145289719791,0.96446208723772
"Forest_Mixedwood- ",1.95588235294127,-3.87630804105853,7.78807274694108,0.987215160358208
"Industrial- ",1.10185185185195,-4.52085538698524,6.72455909068914,0.999803351328947
"Meadow_Grassland- ",1.42142857142867,-4.11774262532508,6.96059976818241,0.998264682141745
"Meadow_Riparian- ",2.82777777777787,-2.64790511907636,8.30346067463211,0.823750201948791
"Meadow_Shrub- ",2.2500000000001,-3.47541357694606,7.97541357694625,0.962773784714948
"Roadside- ",2.2500000000001,-4.79016372452677,9.29016372452697,0.990931243760828
"Forest_Conifer-Cutblock",-0.368298368298369,-3.67802567891249,2.94142894231575,0.999998463846481
"Forest_Decidous-Cutblock",0.430402930402925,-2.537537646149,3.39834350695485,0.999984634997658
"Forest_Mixedwood-Cutblock",0.0648567119155334,-2.65917092754799,2.78888435137905,0.999999999998447
"Industrial-Cutblock",-0.789173789173787,-3.02986977086558,1.45152219251801,0.982020775612476
"Meadow_Grassland-Cutblock",-0.469597069597073,-2.49155140529409,1.55235726609994,0.999212706476855
"Meadow_Riparian-Cutblock",0.936752136752133,-0.904167463773537,2.7776717372778,0.836154610626202
"Meadow_Shrub-Cutblock",0.358974358974356,-2.12824143700657,2.84619015495528,0.999985252871157
"Roadside-Cutblock",0.358974358974358,-4.43370621215092,5.15165493009963,0.999999953579271
"Forest_Decidous-Forest_Conifer",0.798701298701294,-3.42979686325641,5.027199460659,0.999855209260804
"Forest_Mixedwood-Forest_Conifer",0.433155080213902,-3.62786105128539,4.4941712117132,0.999998940910617
"Industrial-Forest_Conifer",-0.420875420875418,-4.17483918230227,3.33308834055144,0.999998359493553
"Meadow_Grassland-Forest_Conifer",-0.101298701298704,-3.72894597954672,3.52634857694931,0.999999999993318
"Meadow_Riparian-Forest_Conifer",1.3050505050505,-2.22489431255442,4.83499532265543,0.975029772639031
"Meadow_Shrub-Forest_Conifer",0.727272727272725,-3.17884655604586,4.63339201059131,0.999871600594579
"Roadside-Forest_Conifer",0.727272727272727,-4.93323188773979,6.38777734228524,0.99999460966973
"Forest_Mixedwood-Forest_Decidous",-0.365546218487392,-4.1531877558581,3.42209531888331,0.999999561059012
"Industrial-Forest_Decidous",-1.21957671957671,-4.67596505386794,2.23681161471452,0.981792932420444
"Meadow_Grassland-Forest_Decidous",-0.899999999999999,-4.21876500685099,2.418765006851,0.997337292596498
"Meadow_Riparian-Forest_Decidous",0.506349206349208,-2.70533054273138,3.71802895542979,0.999968537528368
"Meadow_Shrub-Forest_Decidous",-0.0714285714285694,-3.69249806134888,3.54964091849174,1
"Roadside-Forest_Decidous",-0.0714285714285676,-5.5391235969303,5.39626645407317,1
"Industrial-Forest_Mixedwood",-0.85403050108932,-4.10338053333305,2.39531953115441,0.997908969492389
"Meadow_Grassland-Forest_Mixedwood",-0.534453781512607,-3.63701022504695,2.56810266202174,0.999933213236799
"Meadow_Riparian-Forest_Mixedwood",0.8718954248366,-2.11583651181236,3.85962736148556,0.995353323384268
"Meadow_Shrub-Forest_Mixedwood",0.294117647058822,-3.1298857941558,3.71812108827344,0.999999843319887
"Roadside-Forest_Mixedwood",0.294117647058824,-5.04510928261126,5.63334457672891,0.999999997005996
"Meadow_Grassland-Industrial",0.319576719576713,-2.36859150193121,3.00774494108463,0.999997260137259
"Meadow_Riparian-Industrial",1.72592592592592,-0.828860567517456,4.2807124193693,0.490863326361606
"Meadow_Shrub-Industrial",1.14814814814814,-1.90540575955648,4.20170205585276,0.972069040569239
"Roadside-Industrial",1.14814814814814,-3.96142483873861,6.2577211350349,0.999396521256052
"Meadow_Riparian-Meadow_Grassland",1.40634920634921,-0.958923479908107,3.77162189260652,0.671768492272225
"Meadow_Shrub-Meadow_Grassland",0.828571428571429,-2.06828416336482,3.72542702050768,0.996004470841347
"Roadside-Meadow_Grassland",0.828571428571431,-4.18892963885217,5.84607249599503,0.999953311628004
"Meadow_Shrub-Meadow_Riparian",-0.577777777777778,-3.35130584875308,2.19575029319752,0.999674324458993
"Roadside-Meadow_Riparian",-0.577777777777776,-5.52510054888869,4.36954499333314,0.999997654794424
"Roadside-Meadow_Shrub",1.77635683940025e-15,-5.22238068717037,5.22238068717037,1
