"","equine_zone.diff","equine_zone.lwr","equine_zone.upr","equine_zone.p.adj"
"CLEARWATER EQUINE ZONE-BRAZEAU EQUINE ZONE",0.979166666666659,-4.97738221625806,6.93571554959137,0.997079022315683
"ELBOW EQUINE ZONE-BRAZEAU EQUINE ZONE",1.43589743589744,-4.62820063470318,7.49999550649805,0.984120805800684
"GHOST EQUINE ZONE-BRAZEAU EQUINE ZONE",0.240196078431373,-5.34518255173989,5.82557470860264,0.999995980392632
"NORDEGG EQUINE ZONE-BRAZEAU EQUINE ZONE",0.366666666666661,-5.49507697791896,6.22841031125228,0.999974077349495
"SUNDRE EQUINE ZONE-BRAZEAU EQUINE ZONE",0.240530303030294,-5.27196309873695,5.75302370479754,0.999995678686746
"ELBOW EQUINE ZONE-CLEARWATER EQUINE ZONE",0.456730769230777,-3.078403063244,3.99186460170556,0.999081502901485
"GHOST EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.738970588235285,-3.36962454609815,1.89168336962758,0.9663002608907
"NORDEGG EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.612499999999998,-3.78801954150587,2.56301954150587,0.993798236419598
"SUNDRE EQUINE ZONE-CLEARWATER EQUINE ZONE",-0.738636363636365,-3.21077497386297,1.73350224659024,0.956173068121829
"GHOST EQUINE ZONE-ELBOW EQUINE ZONE",-1.19570135746606,-4.06156092506703,1.67015821013491,0.838120685028232
"NORDEGG EQUINE ZONE-ELBOW EQUINE ZONE",-1.06923076923078,-4.44217238948988,2.30371085102833,0.94390606400822
"SUNDRE EQUINE ZONE-ELBOW EQUINE ZONE",-1.19536713286714,-3.91644782321125,1.52571355747697,0.806272975663531
"NORDEGG EQUINE ZONE-GHOST EQUINE ZONE",0.126470588235287,-2.2818284393333,2.53476961580388,0.999989131229162
"SUNDRE EQUINE ZONE-GHOST EQUINE ZONE",0.000334224598920407,-1.35149755335102,1.35216600254886,1
"SUNDRE EQUINE ZONE-NORDEGG EQUINE ZONE",-0.126136363636367,-2.36019841925196,2.10792569197923,0.999984417286215
